environment: 
YAML: configs/bt.sc.c100.yaml
==> SEED: 42
==> num_classes: 100
==> data_name: cifar100
==> data_params: {'algo': 'bt-sc', 'data_dir': 'datasets/cifar100', 'batch_size': 512, 'num_workers': 3, 'image_size': 32}
==> return_logs: False
==> eval_every: 10
==> n_epochs: 800
==> n_epochs_mlp: 100
==> gpu_id: 2
==> opt: SGD
==> opt_params: {'lr': 0.4, 'momentum': 0.9, 'weight_decay': 0.0001}
==> schedular_params: {'T_max': 800, 'eta_min': 0.001}
==> mlp_opt: SGD
==> mlp_opt_params: {'lr': 0.1, 'momentum': 0.9}
==> model_params: {'model_name': 'resnet18', 'pretrained': False, 'proj_dim': 4096, 'barlow_hidden': 4096}
==> mlp_type: linear
==> loss: bt-sc
==> loss_params: {'lambd': 0.005}
==> distributed: False
==> train_algo: bt-sc
==> model_save_path: saved_models/bt.sc.c100.r18.e800.pth
==> energy_model_params: {'eta': 0.01, 'steps': 5, 'sigma': 0.2, 'delta': 0.1, 'net_type': 'score'}
==> energy_opt: AdamW
==> energy_model_opt_params: {'lr': 0.001}
==> warmup_epochs: 0
==> config: configs/bt.sc.c100.yaml
--------------------------------------------------
===> using linear mlp
using optimizer: SGD
using optimizer: SGD
loss function: bt-sc
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
# of Training Images: 50000
# of Testing Images: 10000
using optimizer: AdamW
### Barlow Twins with SC-net Training begins
[GPU2] epochs: [118/800] train_loss_con: 870.241 energy_loss: 194.343
[GPU2] epochs: [119/800] train_loss_con: 873.482 energy_loss: 194.475
[GPU2] epochs: [120/800] train_loss_con: 865.505 energy_loss: 194.487
[GPU2] epochs: [121/800] train_loss_con: 870.392 energy_loss: 194.436
[GPU2] epochs: [122/800] train_loss_con: 867.857 energy_loss: 194.917
[GPU2] epochs: [123/800] train_loss_con: 859.125 energy_loss: 195.397
[GPU2] epochs: [124/800] train_loss_con: 856.976 energy_loss: 195.340
[GPU2] epochs: [125/800] train_loss_con: 851.481 energy_loss: 196.051
[GPU2] epochs: [126/800] train_loss_con: 840.961 energy_loss: 195.876
[GPU2] epochs: [127/800] train_loss_con: 836.327 energy_loss: 196.063
[GPU2] epochs: [128/800] train_loss_con: 837.702 energy_loss: 195.680
[GPU2] epochs: [129/800] train_loss_con: 843.120 energy_loss: 196.261
[GPU2] epochs: [130/800] train_loss_con: 838.225 energy_loss: 196.636
[GPU2] epochs: [131/800] train_loss_con: 838.269 energy_loss: 197.036
[GPU2] epochs: [132/800] train_loss_con: 834.618 energy_loss: 196.926
[GPU2] epochs: [133/800] train_loss_con: 835.651 energy_loss: 197.004
[GPU2] epochs: [134/800] train_loss_con: 831.995 energy_loss: 197.717
[GPU2] epochs: [135/800] train_loss_con: 823.285 energy_loss: 197.367
[GPU2] epochs: [136/800] train_loss_con: 821.203 energy_loss: 197.518
[GPU2] epochs: [137/800] train_loss_con: 813.551 energy_loss: 197.553
[GPU2] epochs: [138/800] train_loss_con: 817.392 energy_loss: 197.975
[GPU2] epochs: [139/800] train_loss_con: 808.764 energy_loss: 197.763
[GPU2] epochs: [140/800] train_loss_con: 808.137 energy_loss: 198.148
[GPU2] epochs: [141/800] train_loss_con: 820.835 energy_loss: 198.469
[GPU2] epochs: [142/800] train_loss_con: 805.661 energy_loss: 198.087
[GPU2] epochs: [143/800] train_loss_con: 809.346 energy_loss: 198.628
[GPU2] epochs: [144/800] train_loss_con: 805.025 energy_loss: 198.504
[GPU2] epochs: [145/800] train_loss_con: 799.889 energy_loss: 199.097
[GPU2] epochs: [146/800] train_loss_con: 800.089 energy_loss: 198.985
[GPU2] epochs: [147/800] train_loss_con: 792.311 energy_loss: 198.782
[GPU2] epochs: [148/800] train_loss_con: 796.185 energy_loss: 198.911
[GPU2] epochs: [149/800] train_loss_con: 792.157 energy_loss: 199.327
[GPU2] epochs: [150/800] train_loss_con: 791.065 energy_loss: 199.174
[GPU2] epochs: [151/800] train_loss_con: 787.631 energy_loss: 199.069
[GPU2] epochs: [152/800] train_loss_con: 788.237 energy_loss: 199.420
[GPU2] epochs: [153/800] train_loss_con: 790.675 energy_loss: 199.430
[GPU2] epochs: [154/800] train_loss_con: 777.222 energy_loss: 199.115
[GPU2] epochs: [155/800] train_loss_con: 779.397 energy_loss: 199.143
[GPU2] epochs: [156/800] train_loss_con: 775.684 energy_loss: 198.623
